Package Name,Class Name,Method Name,Parameter Types,Cyclomatic Complexity
org.apache.commons.cli,ValueTest,testLongWithArgWithOption,"No parameters",1
org.apache.commons.cli,PatternOptionBuilder,getValueClass,"char",1
org.apache.commons.cli,HelpFormatterTest,testAutomaticUsage,"No parameters",1
org.apache.commons.cli,ConverterTests,testNumber,"String, Number",2
org.apache.commons.cli,Parser,processOption,"String, ListIterator<String>",3
org.apache.commons.cli,ValuesTest,testShortArgs,"No parameters",1
org.apache.commons.cli,Parser,processProperties,"Properties",9
org.apache.commons.cli,HelpFormatterTest,testPrintUsage,"No parameters",1
org.apache.commons.cli,OptionsTest,testDuplicateLong,"No parameters",1
org.apache.commons.cli,PatternOptionBuilderTest,testNumberPattern,"No parameters",1
org.apache.commons.cli.help,Builder,setDefaultArgName,"String",1
org.apache.commons.cli,BasicParserTest,testUnambiguousPartialLongOption2,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendableTest,setUp,"No parameters",1
org.apache.commons.cli,BasicParserTest,testUnambiguousPartialLongOption1,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,createDateFixtures,"No parameters",1
org.apache.commons.cli,BasicParserTest,testUnambiguousPartialLongOption4,"No parameters",1
org.apache.commons.cli,Options,getMatchingOptions,"String",4
org.apache.commons.cli,BasicParserTest,testUnambiguousPartialLongOption3,"No parameters",1
org.apache.commons.cli,ConverterTests,testClass,"No parameters",1
org.apache.commons.cli,OptionBuilder,withLongOpt,"String",1
org.apache.commons.cli,HelpFormatterTest,testOptionWithoutShortFormat2,"No parameters",1
org.apache.commons.cli,OptionTest,testEquals,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testFindWrapPos,"No parameters",1
org.apache.commons.cli,HelpFormatter,appendWrappedText,"A, int, int, String",6
org.apache.commons.cli.bug,BugsTest,test14786,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,testRegister,"No parameters",1
org.apache.commons.cli.help,Builder,setSyntaxFormatFunction,"BiFunction<OptionFormatter,Boolean,String>",1
org.apache.commons.cli,TypeHandlerTest,testCreateObject,"No parameters",1
org.apache.commons.cli,TypeHandler,createDefaultMap,"No parameters",1
org.apache.commons.cli,Option,getType,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testRenderWrappedTextMultiLinePadded,"No parameters",1
org.apache.commons.cli,BasicParserTest,testMissingArgWithBursting,"No parameters",1
org.apache.commons.cli.help,AbstractHelpFormatter,setSyntaxPrefix,"String",1
org.apache.commons.cli,HelpFormatterTest,testPrintHelpWithSince,"No parameters",1
org.apache.commons.cli,Option,clearValues,"No parameters",1
org.apache.commons.cli,BasicParserTest,testPropertiesOption1,"No parameters",1
org.apache.commons.cli,HelpFormatter,renderOptions,"StringBuffer, int, Options, int, int",2
org.apache.commons.cli,OptionComparator,compare,"Option, Option",1
org.apache.commons.cli,AbstractParserTestCase,testStopAtNonOptionLong,"No parameters",1
org.apache.commons.cli.help,HelpAppendable,appendFormat,"String, Object",1
org.apache.commons.cli.bug,BugsTest,test15648,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testArgumentStartingWithHyphen,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendableTest,tesstMakeColumnQueue,"No parameters",1
org.apache.commons.cli,Builder,setSince,"String",1
org.apache.commons.cli,OptionsTest,testAddNonConflictingOptions,"No parameters",1
org.apache.commons.cli,ValuesTest,testShortArgsWithValue,"No parameters",1
org.apache.commons.cli,ConverterTests,testUrl,"No parameters",1
org.apache.commons.cli,OptionTest,testSerialization,"No parameters",1
org.apache.commons.cli,BasicParserTest,testPropertiesOption2,"No parameters",1
org.apache.commons.cli,ValueTest,testLongOptionalNoValueWithOption,"CommandLineParser",1
org.apache.commons.cli,AbstractParserTestCase,testOptionGroupLong,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testRenderSince,"No parameters",1
org.apache.commons.cli,ValuesTest,testExtraArgs,"No parameters",1
org.apache.commons.cli,OptionValidator,search,"char[], char",3
org.apache.commons.cli,OptionTest,testBuilderMethods,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testOptionalArgsOptionBuilder,"No parameters",1
org.apache.commons.cli,ArgumentIsOptionTest,testOption,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testUsageWithLongOptSeparator,"No parameters",1
org.apache.commons.cli.help,HelpFormatterTest,getTestGroups,"No parameters",1
org.apache.commons.cli.bug,BugCLI265Test,testShouldParseConcatenatedShortOptions,"No parameters",1
org.apache.commons.cli,OptionsTest,testAddOptions,"No parameters",1
org.apache.commons.cli,CommandLineTest,createParsedOptionValueParameters,"No parameters",1
org.apache.commons.cli,PatternOptionBuilder,getValueType,"char",2
org.apache.commons.cli,TypeHandlerTest,testCreateClass,"No parameters",1
org.apache.commons.cli,ApplicationTest,testMan,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testPrintHelpNewlineFooter,"No parameters",1
org.apache.commons.cli,OptionTest,testAddValue,"No parameters",1
org.apache.commons.cli,OptionValidator,isValidOpt,"char",1
org.apache.commons.cli,HelpFormatterTest,testHelpWithLongOptSeparator,"No parameters",1
org.apache.commons.cli,Builder,toType,"Class<?>",1
org.apache.commons.cli,HelpFormatterTest,testRenderWrappedTextSingleLinePadded2,"No parameters",1
org.apache.commons.cli,PatternOptionBuilder,isValueCode,"char",1
org.apache.commons.cli,BasicParserTest,testBursting,"No parameters",1
org.apache.commons.cli,HelpFormatter,renderWrappedTextBlock,"A, int, int, String",4
org.apache.commons.cli,TypeHandler,createNumber,"String",1
org.apache.commons.cli,DefaultParser,handleLongOptionWithoutEqual,"String",3
org.apache.commons.cli,OptionTest,testBuilderEmpty,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testOptionAndRequiredOption,"No parameters",1
org.apache.commons.cli,Builder,optionalArg,"boolean",2
org.apache.commons.cli,GnuParserTest,testShortWithUnexpectedArgument,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testRenderWrappedTextSingleLine,"No parameters",1
org.apache.commons.cli,ArgumentIsOptionTest,testOptionAndOptionWithArgument,"No parameters",1
org.apache.commons.cli,DefaultParser,handleLongOptionWithEqual,"String",4
org.apache.commons.cli.help,TextStyle,toString,"No parameters",1
org.apache.commons.cli,ParseException,wrap,"Throwable",3
org.apache.commons.cli,Option,getConverter,"No parameters",1
org.apache.commons.cli,DefaultParser,isLongOption,"String",4
org.apache.commons.cli.example,AptHelpAppendableTest,testAppendParagraphFormatTest,"No parameters",1
org.apache.commons.cli,OptionGroup,setSelected,"Option",3
org.apache.commons.cli.help,HelpFormatterTest,testSortOptionsTest,"No parameters",1
org.apache.commons.cli,HelpFormatter,appendOptionGroup,"StringBuilder, OptionGroup",6
org.apache.commons.cli,ValueTest,parsers,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testPropertyOptionUnexpected,"No parameters",2
org.apache.commons.cli,Options,getOptionGroups,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendable,appendHeader,"int, CharSequence",3
org.apache.commons.cli,CommandLineTest,checkHandler,"boolean, List<Option>, Option",2
org.apache.commons.cli,BasicParserTest,testStopBursting,"No parameters",1
org.apache.commons.cli,BasicParserTest,testLongOptionWithEqualsQuoteHandling,"No parameters",1
org.apache.commons.cli.help,TextStyle,pad,"boolean, CharSequence",7
org.apache.commons.cli.bug,BugCLI71Test,testLackOfError,"No parameters",2
org.apache.commons.cli,DefaultParser,handleShortAndLongOption,"String",11
